Ion,Adsorbent,,,Operating temperature(K),Initial pH,Initial Conc. (ppm),Contact time(min),Adsorbent dosage(g/mL),Solution,Removal efficiency(%),Research Paper
Ni,Bentonite,,,310.84,5,300,120,0.002,Aqueous,72.39,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.91
Ni,Bentonite,,,311.61,5,300,120,0.002,Aqueous,72.61,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.92
Ni,Bentonite,,,312.37,5,300,120,0.002,Aqueous,72.82,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.93
Ni,Bentonite,,,312.85,5,300,120,0.002,Aqueous,72.92,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.94
Ni,Bentonite,,,298.6,5,400,120,0.002,Aqueous,71.65,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.95
Ni,Bentonite,,,299.37,5,400,120,0.002,Aqueous,71.87,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.96
Ni,Bentonite,,,300.13,5,400,120,0.002,Aqueous,72.1,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.97
Ni,Bentonite,,,300.9,5,400,120,0.002,Aqueous,72.33,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.98
Ni,Bentonite,,,301.62,5,400,120,0.002,Aqueous,72.55,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.99
Ni,Bentonite,,,302.41,5,400,120,0.002,Aqueous,72.81,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.100
Ni,Bentonite,,,303.58,5,400,120,0.002,Aqueous,73.19,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.101
Ni,Bentonite,,,304.34,5,400,120,0.002,Aqueous,73.48,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.102
Ni,Bentonite,,,305.11,5,400,120,0.002,Aqueous,73.77,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.103
Ni,Bentonite,,,305.87,5,400,120,0.002,Aqueous,74.07,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.104
Ni,Bentonite,,,306.64,5,400,120,0.002,Aqueous,74.36,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.105
Ni,Bentonite,,,307.4,5,400,120,0.002,Aqueous,74.65,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.106
Ni,Bentonite,,,308.26,5,400,120,0.002,Aqueous,74.91,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.107
Ni,Bentonite,,,308.93,5,400,120,0.002,Aqueous,75.16,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.108
Ni,Bentonite,,,309.7,5,400,120,0.002,Aqueous,75.39,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.109
Ni,Bentonite,,,310.46,5,400,120,0.002,Aqueous,75.6,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.110
Ni,Bentonite,,,311.23,5,400,120,0.002,Aqueous,75.83,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.111
Ni,Bentonite,,,311.99,5,400,120,0.002,Aqueous,76.02,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.112
Ni,Bentonite,,,312.57,5,400,120,0.002,Aqueous,76.14,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.113
Ni,Bentonite,,,298,2.15,100,120,0.002,Aqueous,20.72,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.114
Ni,Bentonite,,,298,2.59,100,120,0.002,Aqueous,28.15,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.115
Ni,Bentonite,,,298,3.07,100,120,0.002,Aqueous,34.79,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.116
Ni,Bentonite,,,298,3.6,100,120,0.002,Aqueous,39.25,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.117
Ni,Bentonite,,,298,4.12,100,120,0.002,Aqueous,42.09,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.118
Ni,Bentonite,,,298,4.65,100,120,0.002,Aqueous,43.97,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.119
Ni,Bentonite,,,298,5.18,100,120,0.002,Aqueous,46.01,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.120
Ni,Bentonite,,,298,5.71,100,120,0.002,Aqueous,48.58,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.121
Ni,Bentonite,,,298,6.23,100,120,0.002,Aqueous,51.28,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.122
Ni,Bentonite,,,298,6.76,100,120,0.002,Aqueous,55.65,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.123
Ni,Bentonite,,,298,7.2,100,120,0.002,Aqueous,62.64,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.124
Ni,Bentonite,,,298,7.55,100,120,0.002,Aqueous,70,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.125
Ni,Bentonite,,,298,7.83,100,120,0.002,Aqueous,76.51,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.126
Ni,Bentonite,,,298,8.18,100,120,0.002,Aqueous,83.41,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.127
Ni,Bentonite,,,298,8.65,100,120,0.002,Aqueous,90.6,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.128
Ni,Bentonite,,,298,8.98,100,120,0.002,Aqueous,94.83,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.129
Ni,Bentonite,,,298,5,58.54,120,0.004,Aqueous,83.05,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.130
Ni,Bentonite,,,298,5,77.3,120,0.004,Aqueous,82.28,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.131
Ni,Bentonite,,,298,5,96.07,120,0.004,Aqueous,81.44,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.132
Ni,Bentonite,,,298,5,114.83,120,0.004,Aqueous,80.42,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.133
Ni,Bentonite,,,298,5,133.59,120,0.004,Aqueous,79.28,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.134
Ni,Bentonite,,,298,5,152.35,120,0.004,Aqueous,78.26,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.135
Ni,Bentonite,,,298,5,171.11,120,0.004,Aqueous,77.32,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.136
Ni,Bentonite,,,298,5,189.87,120,0.004,Aqueous,76.49,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.137
Ni,Bentonite,,,298,5,208.63,120,0.004,Aqueous,75.7,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.138
Ni,Bentonite,,,298,5,227.4,120,0.004,Aqueous,75.13,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.139
Ni,Bentonite,,,298,5,246.17,120,0.004,Aqueous,74.61,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.140
Ni,Bentonite,,,298,5,264.93,120,0.004,Aqueous,74.2,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.141
Ni,Bentonite,,,298,5,283.7,120,0.004,Aqueous,73.78,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.142
Ni,Bentonite,,,298,5,296.61,120,0.004,Aqueous,73.63,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.143
Ni,Bentonite,,,298,5,56.17,120,0.0028,Aqueous,80.95,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.144
Ni,Bentonite,,,298,5,74.93,120,0.0028,Aqueous,80.02,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.145
Ni,Bentonite,,,298,5,93.69,120,0.0028,Aqueous,79.14,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.146
Ni,Bentonite,,,298,5,112.45,120,0.0028,Aqueous,78.27,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.147
Ni,Bentonite,,,298,5,131.21,120,0.0028,Aqueous,77.41,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.148
Ni,Bentonite,,,298,5,149.98,120,0.0028,Aqueous,76.61,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.149
Ni,Bentonite,,,298,5,168.74,120,0.0028,Aqueous,75.84,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.150
Ni,Bentonite,,,298,5,187.51,120,0.0028,Aqueous,75.16,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.151
Ni,Bentonite,,,298,5,206.27,120,0.0028,Aqueous,74.5,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.152
Ni,Bentonite,,,298,5,225.04,120,0.0028,Aqueous,73.93,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.153
Ni,Bentonite,,,298,5,243.8,120,0.0028,Aqueous,73.43,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.154
Ni,Bentonite,,,298,5,262.57,120,0.0028,Aqueous,72.98,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.155
Ni,Bentonite,,,298,5,281.34,120,0.0028,Aqueous,72.57,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.156
Ni,Bentonite,,,298,5,297.18,120,0.0028,Aqueous,72.2,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.157
Ni,Bentonite,,,298,5,56.14,120,0.002,Aqueous,79.23,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.158
Ni,Bentonite,,,298,5,75.34,120,0.002,Aqueous,78.37,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.159
Ni,Bentonite,,,298,5,93.67,120,0.002,Aqueous,77.54,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.160
Ni,Bentonite,,,298,5,112.43,120,0.002,Aqueous,76.64,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.161
Ni,Bentonite,,,298,5,131.19,120,0.002,Aqueous,75.74,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.162
Ni,Bentonite,,,298,5,149.95,120,0.002,Aqueous,74.87,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.163
Ni,Bentonite,,,298,5,168.72,120,0.002,Aqueous,74.07,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.164
Ni,Bentonite,,,298,5,187.48,120,0.002,Aqueous,73.36,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.165
Ni,Bentonite,,,298,5,206.25,120,0.002,Aqueous,72.8,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.166
Ni,Bentonite,,,298,5,225.02,120,0.002,Aqueous,72.35,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.167
Ni,Bentonite,,,298,5,243.79,120,0.002,Aqueous,72,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.168
Ni,Bentonite,,,298,5,262.56,120,0.002,Aqueous,71.76,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.169
Ni,Bentonite,,,298,5,281.33,120,0.002,Aqueous,71.56,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.170
Ni,Bentonite,,,298,5,295.41,120,0.002,Aqueous,71.48,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.171
Ni,Bentonite,,,298,5,56.12,120,0.0012,Aqueous,77.08,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.172
Ni,Bentonite,,,298,5,74.88,120,0.0012,Aqueous,76.03,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.173
Ni,Bentonite,,,298,5,93.64,120,0.0012,Aqueous,75.04,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.174
Ni,Bentonite,,,298,5,112.4,120,0.0012,Aqueous,74.16,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.175
Ni,Bentonite,,,298,5,131.16,120,0.0012,Aqueous,73.37,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.176
Ni,Bentonite,,,298,5,149.93,120,0.0012,Aqueous,72.68,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.177
Ni,Bentonite,,,298,5,168.69,120,0.0012,Aqueous,72.05,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.178
Ni,Bentonite,,,298,5,187.46,120,0.0012,Aqueous,71.51,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.179
Ni,Bentonite,,,298,5,206.23,120,0.0012,Aqueous,71.06,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.180
Ni,Bentonite,,,298,5,225,120,0.0012,Aqueous,70.74,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.181
Ni,Bentonite,,,298,5,243.77,120,0.0012,Aqueous,70.48,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.182
Ni,Bentonite,,,298,5,262.54,120,0.0012,Aqueous,70.27,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.183
Ni,Bentonite,,,298,5,281.31,120,0.0012,Aqueous,70.13,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.184
Ni,Bentonite,,,298,5,295.97,120,0.0012,Aqueous,69.98,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.185
Ni,Bentonite,,,298,5,60.76,120,0.0004,Aqueous,73.19,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.186
Ni,Bentonite,,,298,5,79.52,120,0.0004,Aqueous,72.04,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.187
Ni,Bentonite,,,298,5,98.28,120,0.0004,Aqueous,71.2,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.188
Ni,Bentonite,,,298,5,117.05,120,0.0004,Aqueous,70.65,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.189
Ni,Bentonite,,,298,5,135.82,120,0.0004,Aqueous,70.3,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.190
Ni,Bentonite,,,298,5,154.59,120,0.0004,Aqueous,70.06,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.191
Ni,Bentonite,,,298,5,173.36,120,0.0004,Aqueous,69.88,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.192
Ni,Bentonite,,,298,5,190.64,120,0.0004,Aqueous,69.71,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.193
Ni,Bentonite,,,298,5,210.9,120,0.0004,Aqueous,69.55,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.194
Ni,Bentonite,,,298,5,229.67,120,0.0004,Aqueous,69.4,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.195
Ni,Bentonite,,,298,5,248.44,120,0.0004,Aqueous,69.21,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.196
Ni,Bentonite,,,298,5,267.21,120,0.0004,Aqueous,69.03,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.197
Ni,Bentonite,,,298,5,285.99,120,0.0004,Aqueous,68.85,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.198
Ni,Bentonite,,,298,5,295.96,120,0.0004,Aqueous,68.72,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.199
Ni,Nigerian Bentonite Clay,,,298,6,11.02,30,0.02,Aqueous,80.14,https://watermark.silverchair.com/wpt0160825.pdf?token=AQECAHi208BE49Ooan9kkhW_Ercy7Dm3ZL_9Cf3qfKAc485ysgAABBEwggQNBgkqhkiG9w0BBwagggP-MIID-gIBADCCA_MGCSqGSIb3DQEHATAeBglghkgBZQMEAS4wEQQMzqffEoVUcYH79N0TAgEQgIIDxDmA38VTxgCmjjCYpu1he4dyeVyMd9QtXqetCUAA80absUTUcjTrdAQY57ooHZmCOZ9q2j7BnB1_mZ5H22VNUi5gcrL-MYbJp99D7dm2QklOm1boIuB_OYpJcW8JXzsLz0M0pgoKEFN-qoZv6Q6M2Vm5BzeHu6Ri-co-xpvtKttU3SKOgy-P6r7pQwcIU1Do5HhHVOKhpwOBdpC9simUbyTAMClYB8ed48rPBSt99D7WcS4eWO-uh4Jl1yj2CspX8qKVoWKO9IOOpwpWweNuSS4TrlYoKp93NbfOOR0JrSqCLypOMtuJeuaHgVBSyw8cULZwe4cdsvdg7QG9b_QzrG4lqaGNKa9DXPeZ-uTOTuvEXBncJLCfRl4nAvJCXKKswhwWzoYTtB8Nr6MwH5YHoENvV-X5m4IPFdC2OCqxiXM2S4eg3_ivNJO4Gyp2SzFkdS7EPFsb2VjV4dOYbyNKyz5zOkztxnbV6qqdwM2XiN-q3-9pExbxLTsxa7bUgDP0mNG64vxEsLWqvB9T9N_vjYDLUXrVuM-lJTfwNU-NwDm6rrCCWK-l-3ODTTWg2lqUUcUnEM3dCDONH9RjaOfgSxWNpgtS616bT_BEmGtkFqVHZIiHJQVBupsb1i_NGGSgQIhGipHESQAoqOCwn1rqQJGGpiRxXk_57O9NjLgwjffjo_9s60F3pMfI441UpxcT9tyKdk7bc_WurfFIuJpK1Y3xGwM4k_S9OPyLZOGGOOYFylLMtbs53RUftyKH133eMbt6YqMevoslbQ58F9iK5AJ1jezo9HcTg79myrhHy4nvTsJHwCsML0mBnQG1SXEUN5cEzaEVFtRnoujlwSP0eVWv-PdWlAl8Qa102HkUh4nxEdxYIGgq3_zzfepj8WeULq2ZTwODkM_awQof-yF6q5_Gml7rsvJwLdlM5y6bQFmV5KiXaQkiODvz7kvUpWimsdb7gTrXwpOZ-LmTw726EFuA7Etp1H5rBp-bARtbw4SQfyfZsM1RVfeOPuVLs3QVP3PADk1-0LXvqOxzF8eFrbv_U30_1SNK9bS8a9aSPr5AX7Z90ZVFJz9Z898y9WHieHxeHCmcdve-PV7RlmdeEb-C3bKlZ6uJbjgZx9pRSrq8mNtWisePWleJk28i9E-EUrzi--J0h60uvNwqUQoygigmUaZ2FMY2mDtAjt51Y3LmslnZFxbHvOPIfVCrfTE6PdDy6L7gh_ZrPs6DOK4HWiN_0JGFNA5bDCnVBzOulL_47y-nCc9LAzROASujGweYRnrHhVE
Ni,Nigerian Bentonite Clay,,,298,6,12.63,30,0.02,Aqueous,79.36,https://watermark.silverchair.com/wpt0160825.pdf?token=AQECAHi208BE49Ooan9kkhW_Ercy7Dm3ZL_9Cf3qfKAc485ysgAABBEwggQNBgkqhkiG9w0BBwagggP-MIID-gIBADCCA_MGCSqGSIb3DQEHATAeBglghkgBZQMEAS4wEQQMzqffEoVUcYH79N0TAgEQgIIDxDmA38VTxgCmjjCYpu1he4dyeVyMd9QtXqetCUAA80absUTUcjTrdAQY57ooHZmCOZ9q2j7BnB1_mZ5H22VNUi5gcrL-MYbJp99D7dm2QklOm1boIuB_OYpJcW8JXzsLz0M0pgoKEFN-qoZv6Q6M2Vm5BzeHu6Ri-co-xpvtKttU3SKOgy-P6r7pQwcIU1Do5HhHVOKhpwOBdpC9simUbyTAMClYB8ed48rPBSt99D7WcS4eWO-uh4Jl1yj2CspX8qKVoWKO9IOOpwpWweNuSS4TrlYoKp93NbfOOR0JrSqCLypOMtuJeuaHgVBSyw8cULZwe4cdsvdg7QG9b_QzrG4lqaGNKa9DXPeZ-uTOTuvEXBncJLCfRl4nAvJCXKKswhwWzoYTtB8Nr6MwH5YHoENvV-X5m4IPFdC2OCqxiXM2S4eg3_ivNJO4Gyp2SzFkdS7EPFsb2VjV4dOYbyNKyz5zOkztxnbV6qqdwM2XiN-q3-9pExbxLTsxa7bUgDP0mNG64vxEsLWqvB9T9N_vjYDLUXrVuM-lJTfwNU-NwDm6rrCCWK-l-3ODTTWg2lqUUcUnEM3dCDONH9RjaOfgSxWNpgtS616bT_BEmGtkFqVHZIiHJQVBupsb1i_NGGSgQIhGipHESQAoqOCwn1rqQJGGpiRxXk_57O9NjLgwjffjo_9s60F3pMfI441UpxcT9tyKdk7bc_WurfFIuJpK1Y3xGwM4k_S9OPyLZOGGOOYFylLMtbs53RUftyKH133eMbt6YqMevoslbQ58F9iK5AJ1jezo9HcTg79myrhHy4nvTsJHwCsML0mBnQG1SXEUN5cEzaEVFtRnoujlwSP0eVWv-PdWlAl8Qa102HkUh4nxEdxYIGgq3_zzfepj8WeULq2ZTwODkM_awQof-yF6q5_Gml7rsvJwLdlM5y6bQFmV5KiXaQkiODvz7kvUpWimsdb7gTrXwpOZ-LmTw726EFuA7Etp1H5rBp-bARtbw4SQfyfZsM1RVfeOPuVLs3QVP3PADk1-0LXvqOxzF8eFrbv_U30_1SNK9bS8a9aSPr5AX7Z90ZVFJz9Z898y9WHieHxeHCmcdve-PV7RlmdeEb-C3bKlZ6uJbjgZx9pRSrq8mNtWisePWleJk28i9E-EUrzi--J0h60uvNwqUQoygigmUaZ2FMY2mDtAjt51Y3LmslnZFxbHvOPIfVCrfTE6PdDy6L7gh_ZrPs6DOK4HWiN_0JGFNA5bDCnVBzOulL_47y-nCc9LAzROASujGweYRnrHhVE
Ni,Nigerian Bentonite Clay,,,298,6,14.23,30,0.02,Aqueous,78.53,https://watermark.silverchair.com/wpt0160825.pdf?token=AQECAHi208BE49Ooan9kkhW_Ercy7Dm3ZL_9Cf3qfKAc485ysgAABBEwggQNBgkqhkiG9w0BBwagggP-MIID-gIBADCCA_MGCSqGSIb3DQEHATAeBglghkgBZQMEAS4wEQQMzqffEoVUcYH79N0TAgEQgIIDxDmA38VTxgCmjjCYpu1he4dyeVyMd9QtXqetCUAA80absUTUcjTrdAQY57ooHZmCOZ9q2j7BnB1_mZ5H22VNUi5gcrL-MYbJp99D7dm2QklOm1boIuB_OYpJcW8JXzsLz0M0pgoKEFN-qoZv6Q6M2Vm5BzeHu6Ri-co-xpvtKttU3SKOgy-P6r7pQwcIU1Do5HhHVOKhpwOBdpC9simUbyTAMClYB8ed48rPBSt99D7WcS4eWO-uh4Jl1yj2CspX8qKVoWKO9IOOpwpWweNuSS4TrlYoKp93NbfOOR0JrSqCLypOMtuJeuaHgVBSyw8cULZwe4cdsvdg7QG9b_QzrG4lqaGNKa9DXPeZ-uTOTuvEXBncJLCfRl4nAvJCXKKswhwWzoYTtB8Nr6MwH5YHoENvV-X5m4IPFdC2OCqxiXM2S4eg3_ivNJO4Gyp2SzFkdS7EPFsb2VjV4dOYbyNKyz5zOkztxnbV6qqdwM2XiN-q3-9pExbxLTsxa7bUgDP0mNG64vxEsLWqvB9T9N_vjYDLUXrVuM-lJTfwNU-NwDm6rrCCWK-l-3ODTTWg2lqUUcUnEM3dCDONH9RjaOfgSxWNpgtS616bT_BEmGtkFqVHZIiHJQVBupsb1i_NGGSgQIhGipHESQAoqOCwn1rqQJGGpiRxXk_57O9NjLgwjffjo_9s60F3pMfI441UpxcT9tyKdk7bc_WurfFIuJpK1Y3xGwM4k_S9OPyLZOGGOOYFylLMtbs53RUftyKH133eMbt6YqMevoslbQ58F9iK5AJ1jezo9HcTg79myrhHy4nvTsJHwCsML0mBnQG1SXEUN5cEzaEVFtRnoujlwSP0eVWv-PdWlAl8Qa102HkUh4nxEdxYIGgq3_zzfepj8WeULq2ZTwODkM_awQof-yF6q5_Gml7rsvJwLdlM5y6bQFmV5KiXaQkiODvz7kvUpWimsdb7gTrXwpOZ-LmTw726EFuA7Etp1H5rBp-bARtbw4SQfyfZsM1RVfeOPuVLs3QVP3PADk1-0LXvqOxzF8eFrbv_U30_1SNK9bS8a9aSPr5AX7Z90ZVFJz9Z898y9WHieHxeHCmcdve-PV7RlmdeEb-C3bKlZ6uJbjgZx9pRSrq8mNtWisePWleJk28i9E-EUrzi--J0h60uvNwqUQoygigmUaZ2FMY2mDtAjt51Y3LmslnZFxbHvOPIfVCrfTE6PdDy6L7gh_ZrPs6DOK4HWiN_0JGFNA5bDCnVBzOulL_47y-nCc9LAzROASujGweYRnrHhVE
Ni,Nigerian Bentonite Clay,,,298,6,15.84,30,0.02,Aqueous,77.69,https://watermark.silverchair.com/wpt0160825.pdf?token=AQECAHi208BE49Ooan9kkhW_Ercy7Dm3ZL_9Cf3qfKAc485ysgAABBEwggQNBgkqhkiG9w0BBwagggP-MIID-gIBADCCA_MGCSqGSIb3DQEHATAeBglghkgBZQMEAS4wEQQMzqffEoVUcYH79N0TAgEQgIIDxDmA38VTxgCmjjCYpu1he4dyeVyMd9QtXqetCUAA80absUTUcjTrdAQY57ooHZmCOZ9q2j7BnB1_mZ5H22VNUi5gcrL-MYbJp99D7dm2QklOm1boIuB_OYpJcW8JXzsLz0M0pgoKEFN-qoZv6Q6M2Vm5BzeHu6Ri-co-xpvtKttU3SKOgy-P6r7pQwcIU1Do5HhHVOKhpwOBdpC9simUbyTAMClYB8ed48rPBSt99D7WcS4eWO-uh4Jl1yj2CspX8qKVoWKO9IOOpwpWweNuSS4TrlYoKp93NbfOOR0JrSqCLypOMtuJeuaHgVBSyw8cULZwe4cdsvdg7QG9b_QzrG4lqaGNKa9DXPeZ-uTOTuvEXBncJLCfRl4nAvJCXKKswhwWzoYTtB8Nr6MwH5YHoENvV-X5m4IPFdC2OCqxiXM2S4eg3_ivNJO4Gyp2SzFkdS7EPFsb2VjV4dOYbyNKyz5zOkztxnbV6qqdwM2XiN-q3-9pExbxLTsxa7bUgDP0mNG64vxEsLWqvB9T9N_vjYDLUXrVuM-lJTfwNU-NwDm6rrCCWK-l-3ODTTWg2lqUUcUnEM3dCDONH9RjaOfgSxWNpgtS616bT_BEmGtkFqVHZIiHJQVBupsb1i_NGGSgQIhGipHESQAoqOCwn1rqQJGGpiRxXk_57O9NjLgwjffjo_9s60F3pMfI441UpxcT9tyKdk7bc_WurfFIuJpK1Y3xGwM4k_S9OPyLZOGGOOYFylLMtbs53RUftyKH133eMbt6YqMevoslbQ58F9iK5AJ1jezo9HcTg79myrhHy4nvTsJHwCsML0mBnQG1SXEUN5cEzaEVFtRnoujlwSP0eVWv-PdWlAl8Qa102HkUh4nxEdxYIGgq3_zzfepj8WeULq2ZTwODkM_awQof-yF6q5_Gml7rsvJwLdlM5y6bQFmV5KiXaQkiODvz7kvUpWimsdb7gTrXwpOZ-LmTw726EFuA7Etp1H5rBp-bARtbw4SQfyfZsM1RVfeOPuVLs3QVP3PADk1-0LXvqOxzF8eFrbv_U30_1SNK9bS8a9aSPr5AX7Z90ZVFJz9Z898y9WHieHxeHCmcdve-PV7RlmdeEb-C3bKlZ6uJbjgZx9pRSrq8mNtWisePWleJk28i9E-EUrzi--J0h60uvNwqUQoygigmUaZ2FMY2mDtAjt51Y3LmslnZFxbHvOPIfVCrfTE6PdDy6L7gh_ZrPs6DOK4HWiN_0JGFNA5bDCnVBzOulL_47y-nCc9LAzROASujGweYRnrHhVE
